run_id,mode,family,seed,iteration,ant_id,update_step,phase,hyperparameter,option_index,option_value,pheromone,probability
paper_conventional-seed-42,paper_conventional,paper_faithful,42,1,,64,after_update,loss,2,"""binary_crossentropy""",0.75,0.10714285714285714
paper_conventional-seed-42,paper_conventional,paper_faithful,42,1,,64,after_update,loss,3,"""mean_absolute_error""",0.75,0.10714285714285714
paper_conventional-seed-42,paper_conventional,paper_faithful,42,1,,64,after_update,loss,4,"""mean_squared_error""",0.75,0.10714285714285714
paper_conventional-seed-42,paper_conventional,paper_faithful,42,1,,64,after_update,loss,5,"""squared_hinge""",0.75,0.10714285714285714
paper_conventional-seed-42,paper_conventional,paper_faithful,42,1,,64,after_update,loss,6,"""categorical_hinge""",1.25,0.17857142857142858
paper_conventional-seed-42,paper_conventional,paper_faithful,42,1,,64,after_update,loss,7,"""cosine_similarity""",0.75,0.10714285714285714
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,dense_units_1,0,16,0.75,0.10714285714285714
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,dense_units_1,1,32,1.25,0.17857142857142858
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,dense_units_1,2,64,0.75,0.10714285714285714
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,dense_units_1,3,128,0.75,0.10714285714285714
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,dense_units_1,4,256,0.75,0.10714285714285714
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,dense_units_1,5,512,0.75,0.10714285714285714
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,dense_units_1,6,1024,1.25,0.17857142857142858
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,dense_units_1,7,2048,0.75,0.10714285714285714
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,dense_units_2,0,16,0.75,0.10714285714285714
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,dense_units_2,1,32,0.75,0.10714285714285714
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,dense_units_2,2,64,0.75,0.10714285714285714
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,dense_units_2,3,128,1.75,0.25
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,dense_units_2,4,256,0.75,0.10714285714285714
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,dense_units_2,5,512,0.75,0.10714285714285714
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,dense_units_2,6,1024,0.75,0.10714285714285714
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,dense_units_2,7,2048,0.75,0.10714285714285714
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,dropout_1,0,0.1,0.75,0.10714285714285714
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,dropout_1,1,0.2,0.75,0.10714285714285714
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,dropout_1,2,0.3,1.25,0.17857142857142858
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,dropout_1,3,0.4,0.75,0.10714285714285714
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,dropout_1,4,0.5,0.75,0.10714285714285714
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,dropout_1,5,0.6,0.75,0.10714285714285714
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,dropout_1,6,0.7,1.25,0.17857142857142858
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,dropout_1,7,0.8,0.75,0.10714285714285714
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,dropout_2,0,0.1,0.75,0.10714285714285714
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,dropout_2,1,0.2,0.75,0.10714285714285714
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,dropout_2,2,0.3,0.75,0.10714285714285714
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,dropout_2,3,0.4,0.75,0.10714285714285714
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,dropout_2,4,0.5,0.75,0.10714285714285714
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,dropout_2,5,0.6,1.25,0.17857142857142858
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,dropout_2,6,0.7,0.75,0.10714285714285714
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,dropout_2,7,0.8,1.25,0.17857142857142858
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,batch_size,0,16,1.25,0.17857142857142858
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,batch_size,1,32,0.75,0.10714285714285714
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,batch_size,2,64,0.75,0.10714285714285714
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,batch_size,3,128,0.75,0.10714285714285714
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,batch_size,4,256,0.75,0.10714285714285714
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,batch_size,5,512,1.25,0.17857142857142858
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,batch_size,6,1024,0.75,0.10714285714285714
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,batch_size,7,2048,0.75,0.10714285714285714
paper_conventional-seed-42,paper_conventional,paper_faithful,42,2,,128,before_sampling,activation,0,"""relu""",0.75,0.10714285714285714
